"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
60396,54971748400,2012,"male","Agricultural Sciences","10.1080/10549811.2011.565714",2012,"Q2",2,2,2,2,1,0,0,0,0,0,0,"","",0,1,1,"usa","Y","Y",1,1,0,0,0,0,0,"first","",1,2012,1,NA,1,0,0,0,0,"Agricultural Sciences",2,0,0,1,0,0,0,0,0,0.33647797,1,NA,"Agricultural Sciences",0,NA
297028,35188924900,2014,"male","Natural Sciences","10.1007/jhep06(2014)049",2014,"Q1",1,1,1,2,1,39,18,40,40,1,0,"","",1,1,1,"gbr","N","Y",2,1,0,1,0,0,0,"first","2013-12-16",1,2014,NA,NA,1,0,39,0,1,"Physical sciences and astronomy",4,2,1,1,1,0,1,0,1,3.2199074,19,1,"Physical sciences and astronomy",0,0
24596,55360674400,2012,"female","Natural Sciences","10.1155/2013/747531",2013,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","N",2,1,1,0,0,0,0,"first","",1,2013,NA,NA,2,1,0,0,0,"Computer and information sciences",2,0,0,1,0,0,0,0,0,0.22652827,2,1,"Mathematics",0,NA
239267,56443835500,2013,"male","Social Sciences","10.1080/13218719.2012.711683",2013,"Q2",1,1,1,1,1,2,2,2,2,1,0,"","",1,1,1,"aus","N","N",4,1,0,3,0,0,2,"first","2021-06-05",1,2013,NA,NA,1,0,2,0,1,"Other social sciences",1,0,0,0,0,0,0,0,0,0,1,NA,"Other social sciences",0,0
565511,57001528700,2016,"male","Natural Sciences","10.2166/wst.2016.215",2016,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",6,4,1,1,0,0,0,"first","",1,2016,8,1,3,2,0,0,0,"Earth and related environmental sciences",5,0,0,1,0,0,0,0,0,0.89564513,16,1,"Earth and related environmental sciences",0,NA
114907,6504466541,2012,"male","Medical and Health Sciences","10.1016/j.ijporl.2012.09.008",2012,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",3,1,1,1,0,0,0,"first","",1,2012,12,NA,1,0,0,0,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,1.0004163,8,1,"Clinical medicine",0,NA
422965,57191412129,2015,"male","Natural Sciences","10.1002/pro.2641",2015,"Q1",1,2,1,2,1,1,1,1,1,1,0,"","",1,1,1,"chn","N","Y",2,1,1,0,0,0,0,"first","",1,2015,5,1,1,0,1,0,1,"Biological sciences",3,0,0,1,0,0,0,0,0,1.0680407,17,1,"Biological sciences",0,0
66882,55499132000,2012,"female","Medical and Health Sciences","10.1186/1743-7075-9-105",2012,"Q1",1,1,1,2,1,1,1,1,1,1,0,"","",1,1,1,"swe","N","Y",4,1,1,2,0,0,0,"first","2013-06-05",1,2012,NA,NA,1,0,1,0,1,"Health sciences",10,0,0,1,0,0,0,0,0,6.8833785,17,NA,"Health sciences",0,0
473675,57189625399,2016,"male","Natural Sciences","10.1080/02670836.2018.1435482",2018,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","N",7,2,2,3,0,0,0,"first","",1,2018,7,3,6,5,0,0,0,"Materials engineering",9,0,0,1,0,0,0,0,0,0.716007035,15,NA,"Materials engineering",0,NA
425540,56628969800,2015,"male","Humanities","10.5539/jsd.v8n7p1",2015,"Q4",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"rus","N","N",1,1,0,0,0,0,0,"first","",1,2015,NA,NA,1,0,0,0,0,"Psychology",3,0,0,1,0,0,0,0,0,0,1,NA,"Psychology",0,NA
15953,56125175900,2012,"male","Engineering and Technology","10.5370/jeet.2012.7.6.845",2012,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"kor","N","N",1,1,0,0,0,0,0,"first","",1,2012,11,NA,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",2,0,0,1,0,0,0,0,0,1.186785565,7,1,"Electrical engineering, electronic engineering,  information engineering ",0,NA
241524,55151638800,2013,"male","Engineering and Technology","10.3724/sp.j.1146.2012.01446",2013,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",2,1,1,0,0,0,0,"first","",1,2013,7,NA,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",4,0,0,1,0,0,0,0,0,0.30175212,15,1,"Electrical engineering, electronic engineering,  information engineering ",0,NA
446373,56368037900,2015,"female","Engineering and Technology","10.2174/2352096508666150317234447",2015,"Q4",1,2,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","Y",3,1,1,1,0,0,0,"first","",1,2015,6,1,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",3,0,0,1,0,0,0,0,0,0.19526827,8,NA,"Electrical engineering, electronic engineering,  information engineering ",0,NA
516045,57188969699,2016,"female","Medical and Health Sciences","10.3233/hab-160291",2016,"Q3",1,1,1,2,1,1,1,1,1,1,0,"","",1,1,1,"irn","N","Y",1,1,0,0,0,0,0,"first","2016-07-30",1,2016,6,8,1,0,1,0,1,"Clinical medicine",9,0,0,1,1,0,1,0,1,0.6357784,21,NA,"Clinical medicine",0,0
340598,57214845813,2014,"female","Social Sciences","10.1590/00115258201419",2014,"Q2",1,1,1,1,1,2,2,2,2,1,0,"","",1,1,1,"bra","N","N",1,1,0,0,0,0,0,"first","2022-02-14",1,2014,NA,NA,1,0,2,0,1,"Other social sciences",2,0,0,1,0,0,0,0,0,0,1,1,"Other social sciences",0,0
278398,56226143500,2014,"female","Natural Sciences","10.1017/s0954102014000406",2014,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",4,1,1,2,0,0,0,"first","",1,2014,6,25,1,0,0,0,0,"Chemical sciences",5,0,0,1,0,0,0,0,0,0.8222634,19,NA,"Chemical sciences",0,NA
77066,55613227800,2012,"female","Medical and Health Sciences","10.1371/journal.pone.0039980",2012,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","2022-01-10",1,2012,7,10,1,0,2,0,1,"Agricultural Sciences",3,0,0,1,0,1,0,1,1,1.51433945,11,NA,"Agricultural Sciences",0,0
134200,57189763483,2013,"male","Medical and Health Sciences","10.1371/journal.pone.0137642",2015,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,0,3,"usa","N","N",4,1,0,3,0,0,0,"first","2016-05-25",1,2015,9,10,3,2,2,0,1,"Biological sciences",5,0,0,1,1,0,1,0,1,1.288346,20,NA,"Biological sciences",0,0
475810,57188969548,2016,"female","Natural Sciences","10.3892/mmr.2018.9533",2018,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"jpn","N","N",3,1,0,2,0,0,0,"first","",1,2018,12,1,3,2,0,0,0,"Biological sciences",11,0,0,1,0,0,0,0,0,0.6184159,23,NA,"Biological sciences",0,NA
417614,56525030400,2015,"female","Medical and Health Sciences","10.1309/ajcpdude1hra0ymr",2015,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2015,4,1,1,0,0,0,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,0.8221804,6,1,"Clinical medicine",0,NA
401160,56663907900,2015,"male","Medical and Health Sciences","10.1016/j.epsc.2015.04.001",2015,"Q4",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"usa","N","N",4,2,0,2,0,0,0,"first","",1,2015,6,1,1,0,0,0,0,"Clinical medicine",5,0,0,1,0,0,0,0,0,0.6643848,17,1,"Clinical medicine",0,NA
526502,57193404739,2016,"female","Engineering and Technology","10.13443/j.cjors.2016041001",2016,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",2,1,0,1,0,0,0,"first","",1,2016,10,1,1,0,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",3,0,0,1,0,0,0,0,0,0.22102526,21,1,"Electrical engineering, electronic engineering,  information engineering ",0,NA
