"X","author_id","cohort","gender","discipline","doi_lower","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name"
436669,56599265100,2015,"male","Medical and Health Sciences","10.1007/s10549-015-3390-7",2015,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"kor","N","N",4,1,0,3,0,0,0,"first","",1,2015,5,1,1,0,0,0,0,"Health sciences",12,0,0,1,0,0,0,0,0,2.0989888,19,NA,"Health sciences",0,NA
249883,56044328700,2014,"female","Natural Sciences","10.4191/kcers.2014.51.1.011",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"kor","N","N",6,1,3,2,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Materials engineering",4,0,0,1,0,0,0,0,0,0.30692783,11,NA,"Materials engineering",0,NA
462120,56844249400,2015,"female","Natural Sciences","10.1016/j.gene.2016.03.024",2016,"Q1",1,2,1,3,1,0,0,0,0,0,0,"","",0,0,2,"chn","N","Y",6,1,3,2,0,0,0,"first","",1,2016,7,10,2,1,0,0,0,"Biological sciences",6,0,0,1,0,0,0,0,0,1.0785543,13,1,"Biological sciences",0,NA
424115,55584797497,2015,"female","Natural Sciences","10.1007/s13233-017-5141-6",2017,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","N",5,1,0,4,0,0,0,"first","",1,2017,10,1,2,1,0,0,0,"Chemical sciences",6,0,0,1,0,0,0,0,0,0.64620905,14,NA,"Chemical sciences",0,NA
420846,56167023300,2015,"female","Social Sciences","10.1590/1809-4449201500440115",2015,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",2,1,1,0,0,0,0,"first","",1,2015,6,22,1,0,0,0,0,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,1,"Sociology and political science",0,NA
153836,55800106300,2013,"female","Medical and Health Sciences","10.7883/yoken.jjid.2014.255",2015,"Q2",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","Y",4,2,1,1,0,0,0,"first","",1,2015,NA,NA,4,3,0,0,0,"Clinical medicine",6,0,0,1,0,0,0,0,0,0.21670943,3,1,"Clinical medicine",0,NA
534652,57192833781,2016,"male","Natural Sciences","10.2298/fil1613565y",2016,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",2,1,1,0,0,0,0,"first","",1,2016,NA,NA,1,0,0,0,0,"Mathematics",2,0,0,1,0,0,0,0,0,0,19,1,"Mathematics",0,NA
414256,55774735600,2015,"male","Engineering and Technology","10.1109/tpel.2015.2448713",2016,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"usa","N","N",5,1,1,3,0,0,0,"first","",1,2016,4,1,2,1,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",3,0,0,1,0,0,0,0,0,3.61937265,17,1,"Electrical engineering, electronic engineering,  information engineering ",0,NA
47779,54384250200,2012,"male","Medical and Health Sciences","10.1097/pas.0b013e3182834d41",2013,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,0,2,"jpn","N","N",3,2,1,0,0,0,0,"first","2013-06-15",1,2013,7,NA,3,2,2,0,1,"Clinical medicine",8,0,0,1,0,0,0,0,0,0.7310958,18,1,"Clinical medicine",0,0
145579,55631378300,2013,"female","Natural Sciences","10.1080/15548627.2015.1067361",2015,"Q1",1,1,1,1,1,4,4,4,4,1,0,"","",1,0,3,"deu","N","N",4,1,1,2,0,0,0,"first","2015-07-26",1,2015,NA,NA,4,3,4,0,1,"Biological sciences",13,0,0,1,4,0,1,0,1,2.9733794,20,1,"Biological sciences",0,0
538439,57003137600,2016,"female","Medical and Health Sciences","10.1016/j.taap.2018.05.035",2018,"Q1",1,1,1,1,1,4,4,4,4,1,0,"","",1,0,3,"egy","N","N",5,2,2,1,0,0,0,"first","2018-06-05",1,2018,8,1,5,4,4,0,1,"Basic medical research",4,0,0,1,3,0,1,0,1,1.9863962,6,1,"Basic medical research",0,0
289669,55257038700,2014,"female","Medical and Health Sciences","10.1111/dsu.0000000000000034",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"srb","N","N",5,2,3,0,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Clinical medicine",1,0,0,0,0,0,0,0,0,0,1,1,"Clinical medicine",0,NA
187660,56981507800,2013,"male","Medical and Health Sciences","10.3904/kjim.2013.28.4.413",2013,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"kor","N","N",1,1,0,0,0,0,0,"first","",1,2013,7,NA,1,0,0,0,0,"Clinical medicine",7,0,0,1,0,0,0,0,0,0.57819694,18,1,"Clinical medicine",0,NA
202511,55581163200,2013,"female","Medical and Health Sciences","10.1007/s00018-013-1350-0",2013,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,1,1,"nld","N","N",3,2,0,1,0,0,0,"first","2014-10-04",1,2013,11,NA,1,0,2,0,1,"Clinical medicine",3,0,0,1,0,1,0,1,1,1.6918377,16,NA,"Clinical medicine",0,0
289382,54380929200,2014,"male","Medical and Health Sciences","10.1002/pbc.25001",2014,"Q1",1,1,1,2,1,2,2,2,2,1,0,"","",1,1,1,"fra","N","Y",1,1,0,0,0,0,0,"first","2014-03-25",1,2014,NA,NA,1,0,2,0,1,"Health sciences",8,0,0,1,0,0,0,0,0,0.9182286,19,NA,"Health sciences",0,0
249738,55863930300,2014,"male","Medical and Health Sciences","10.1016/j.bbrc.2015.12.034",2016,"Q1",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","Y",3,1,1,1,0,0,0,"first","",1,2016,1,15,3,2,0,0,0,"Clinical medicine",6,0,0,1,0,0,0,0,0,1.240301,19,1,"Biological sciences",0,NA
374427,56436684100,2015,"male","Natural Sciences","10.1016/j.seppur.2014.09.031",2015,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"irn","N","N",4,2,0,2,0,0,0,"first","",1,2015,1,2,1,0,0,0,0,"Other natural sciences",2,0,0,1,0,0,0,0,0,0.637876385,14,NA,"Other natural sciences",0,NA
466324,57190075838,2016,"male","Medical and Health Sciences","10.1038/jhg.2016.63",2016,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"chn","N","N",3,2,0,1,0,0,0,"first","",1,2016,10,1,1,0,0,0,0,"Biological sciences",4,0,0,1,0,0,0,0,0,0.22035163,19,NA,"Biological sciences",0,NA
383100,36634877400,2015,"male","Natural Sciences","10.1109/tnse.2015.2500162",2015,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"can","N","N",2,1,0,1,0,0,0,"first","",1,2015,NA,NA,1,0,0,0,0,"Computer and information sciences",2,0,0,1,0,0,0,0,0,4.0903463,12,NA,"Computer and information sciences",0,NA
53032,36861631300,2012,"male","Medical and Health Sciences","10.1016/j.lpm.2012.03.015",2012,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"fra","N","N",6,3,0,3,0,0,0,"first","",1,2012,NA,NA,2,1,0,0,0,"Health sciences",4,0,0,1,0,0,0,0,0,0.48463014,16,NA,"Health sciences",0,NA
176452,55904819900,2013,"female","Natural Sciences","10.1674/0003-0031-170.2.298",2013,"Q3",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","2014-08-18",1,2013,10,NA,1,0,1,0,1,"Biological sciences",3,0,0,1,0,0,0,0,0,0.45778054,18,NA,"Biological sciences",0,0
67584,55537871700,2012,"male","Natural Sciences","10.1021/ja310482z",2012,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"chn","N","N",2,1,0,1,0,0,0,"first","2012-12-07",1,2012,12,26,1,0,1,0,1,"Biological sciences",9,0,0,1,0,0,0,0,0,1.3363297,17,NA,"Biological sciences",0,1
415746,56734845600,2015,"male","Natural Sciences","10.1007/s10483-015-1998-7",2015,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",6,2,4,0,0,0,0,"first","",1,2015,11,1,2,1,0,0,0,"Physical sciences and astronomy",4,0,0,1,0,0,0,0,0,0.13212962,20,NA,"Physical sciences and astronomy",0,NA
362879,56567176700,2015,"male","Engineering and Technology","10.3969/j.issn.1001-506x.2015.09.31",2015,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"chn","N","N",2,2,0,0,0,0,0,"first","",1,2015,9,1,2,1,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",3,0,0,1,0,0,0,0,0,0.8997988,14,NA,"Electrical engineering, electronic engineering,  information engineering ",0,NA
133403,50162540000,2013,"male","Natural Sciences","10.3233/jcs-140502",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"usa","N","N",3,1,2,0,0,0,0,"first","",1,2014,NA,NA,3,2,0,0,0,"Computer and information sciences",5,0,0,1,0,0,0,0,0,1.3428216,16,NA,"Computer and information sciences",0,NA
113228,55800929000,2012,"male","Natural Sciences","10.1134/s1024856013010089",2013,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"rus","N","N",6,2,2,2,0,0,0,"first","",1,2013,2,1,2,1,0,0,0,"Earth and related environmental sciences",5,0,0,1,0,0,0,0,0,0.96354645,18,NA,"Earth and related environmental sciences",0,NA
276889,55853951600,2014,"male","Natural Sciences","10.1016/j.amc.2014.03.034",2014,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"jpn","N","N",2,2,0,0,0,0,0,"first","",1,2014,6,1,1,0,0,0,0,"Mathematics",3,0,0,1,0,0,0,0,0,0.45460698,17,1,"Mathematics",0,NA
124374,56401675100,2013,"female","Medical and Health Sciences","10.1016/j.physio.2014.07.004",2015,"Q1",1,1,1,1,1,3,3,3,3,1,0,"","",1,0,3,"bra","N","N",2,1,0,1,0,0,0,"first","2015-05-09",1,2015,6,1,2,1,3,0,1,"Health sciences",5,0,0,1,0,0,0,0,0,0,3,1,"Health sciences",0,0
469044,57190968928,2016,"female","Medical and Health Sciences","10.1016/j.cca.2018.05.010",2018,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","N",10,1,2,7,0,0,0,"first","",1,2018,8,1,6,5,0,0,0,"Clinical medicine",8,0,0,1,0,0,0,0,0,0.8548279,17,NA,"Clinical medicine",0,NA
139007,56861935500,2013,"male","Natural Sciences","10.1111/j.1751-908x.2013.00269.x",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"fra","N","N",2,1,1,0,0,0,0,"first","",1,2014,9,1,2,1,0,0,0,"Earth and related environmental sciences",6,0,0,1,0,0,0,0,0,0,2,1,"Earth and related environmental sciences",0,NA
438823,56583252800,2015,"female","Engineering and Technology","10.9713/kcer.2015.53.2.131",2015,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"kor","N","N",2,1,1,0,0,0,0,"first","",1,2015,4,1,1,0,0,0,0,"Other engineering and technologies",2,0,0,1,0,0,0,0,0,0.599131045,20,1,"Chemical engineering",0,NA
526301,16177342700,2016,"male","Natural Sciences","10.1007/s00726-017-2467-5",2017,"Q1",1,2,1,2,1,8,7,8,8,1,0,"","",1,0,2,"chn","N","Y",14,2,6,6,0,0,0,"first","2017-07-24",1,2017,12,1,5,4,8,0,1,"Biological sciences",7,0,0,1,6,0,1,0,1,1.5952522,22,NA,"Biological sciences",0,1
122172,38661453400,2012,"male","Natural Sciences","10.1088/0964-1726/21/1/012001",2012,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2012,1,NA,1,0,0,0,0,"Materials engineering",5,0,0,1,0,0,0,0,0,1.3895683,17,NA,"Materials engineering",0,NA
379402,35932168000,2015,"male","Medical and Health Sciences","10.1128/microbiolspec.mdna3-0015-2014",2015,"Q3",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",3,2,1,0,0,0,0,"first","",1,2015,NA,NA,2,1,0,0,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,0.95180947,20,NA,"Clinical medicine",0,NA
173469,55929344700,2013,"female","Natural Sciences","10.1080/00221686.2013.777371",2013,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"swe","N","N",5,2,2,1,0,0,0,"first","",1,2013,6,1,1,0,0,0,0,"Earth and related environmental sciences",2,0,0,1,0,0,0,0,0,0.3211465,8,NA,"Earth and related environmental sciences",0,NA
455303,55901017200,2015,"male","Social Sciences","10.1080/10911359.2015.1013658",2015,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2015,8,18,1,0,0,0,0,"Other social sciences",1,0,0,0,0,0,0,0,0,0,1,NA,"Other social sciences",0,NA
43691,51565757200,2012,"male","Medical and Health Sciences","10.1016/j.ejmech.2014.09.061",2014,"Q1",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,0,3,"deu","N","Y",3,1,0,2,0,0,0,"first","",1,2014,11,24,3,2,0,0,0,"Chemical sciences",6,0,0,1,0,0,0,0,0,1.0361811,19,NA,"Chemical sciences",0,NA
139476,57190327084,2013,"male","Natural Sciences","10.1007/s00253-013-4923-9",2013,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,0,1,"jpn","N","N",2,2,0,0,0,0,0,"first","2013-04-26",1,2013,7,NA,1,0,1,0,1,"Basic medical research",5,0,0,1,0,0,0,0,0,1.4861853,18,NA,"Basic medical research",0,0
492119,57191071571,2016,"female","Medical and Health Sciences","10.1007/s00726-016-2340-y",2017,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"bra","N","N",14,2,5,7,0,0,0,"first","",1,2017,1,1,4,3,0,0,0,"Basic medical research",11,0,0,1,0,0,0,0,0,0.98769775,22,NA,"Basic medical research",0,NA
254598,56375190200,2014,"female","Natural Sciences","10.1371/journal.ppat.1004385",2014,"Q1",1,1,1,1,1,7,6,7,7,1,0,"","",1,1,1,"deu","N","N",3,1,1,1,0,0,0,"first","2014-09-12",1,2014,9,1,1,0,7,0,1,"Basic medical research",12,0,0,1,0,0,0,0,0,1.3643427,19,NA,"Basic medical research",0,0
314309,56271862000,2014,"female","Natural Sciences","10.1016/j.actbio.2016.05.025",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,3,"chn","N","N",2,1,0,1,0,0,0,"first","",1,2016,9,1,2,1,0,0,0,"Materials engineering",11,0,0,1,0,0,0,0,0,1.3292428,17,NA,"Materials engineering",0,NA
25068,55384101000,2012,"male","Natural Sciences","10.1179/1753555712y.0000000017",2012,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"tur","N","N",8,3,3,2,0,0,0,"first","",1,2012,11,NA,2,1,0,0,0,"Physical sciences and astronomy",2,0,0,1,0,0,0,0,0,1.0978105,7,NA,"Physical sciences and astronomy",0,NA
408165,56735927200,2015,"male","Medical and Health Sciences","10.1016/j.colsurfb.2016.08.009",2016,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"kor","N","N",7,1,6,0,0,0,0,"first","",1,2016,11,1,7,6,0,0,0,"Basic medical research",9,0,0,1,0,0,0,0,0,2.619009,20,NA,"Basic medical research",0,NA
364893,56526737600,2015,"male","Natural Sciences","10.1134/s1070363215040131",2015,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"rus","N","N",7,3,4,0,0,0,0,"first","",1,2015,4,1,1,0,0,0,0,"Chemical sciences",4,0,0,1,0,0,0,0,0,0,1,1,"Chemical sciences",0,NA
359074,56544875600,2015,"female","Medical and Health Sciences","10.1016/j.cellsig.2016.02.004",2016,"Q2",1,1,1,1,1,5,4,5,5,1,0,"","",1,0,2,"chn","N","N",7,3,2,2,0,0,0,"first","2016-02-16",1,2016,5,1,5,4,5,0,1,"Biological sciences",4,0,0,1,3,0,1,0,1,1.249774,21,1,"Biological sciences",0,0
354316,14029443400,2014,"male","Medical and Health Sciences","10.1136/bcr-2012-006987",2014,"Q3",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"chl","N","N",5,2,1,2,0,0,0,"first","",1,2014,5,23,1,0,0,0,0,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.679071505,19,NA,"Clinical medicine",0,NA
338288,36999774800,2014,"male","Medical and Health Sciences","10.1097/scs.0000000000000935",2014,"Q2",1,1,1,2,1,1,1,1,1,1,0,"","",1,0,1,"usa","N","Y",4,4,0,0,0,0,0,"first","2014-12-03",1,2014,11,1,2,1,1,0,1,"Clinical medicine",13,0,0,1,0,0,0,0,0,1.4245814,19,1,"Clinical medicine",0,0
256304,55494086300,2014,"female","Engineering and Technology","10.7538/yzk.2014.48.08.1351",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"chn","N","N",2,2,0,0,0,0,0,"first","",1,2014,8,1,1,0,0,0,0,"Other engineering and technologies",4,0,0,1,0,0,0,0,0,0,17,1,"Other engineering and technologies",0,NA
198630,55318362200,2013,"male","Natural Sciences","10.2514/1.a32383",2013,"Q1",1,2,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"esp","N","Y",3,1,1,1,0,0,0,"first","",1,2013,5,NA,1,0,0,0,0,"Earth and related environmental sciences",2,0,0,1,0,0,0,0,0,0.9076783,18,NA,"Earth and related environmental sciences",0,NA
179585,55921306000,2013,"female","Medical and Health Sciences","10.1186/2193-1801-2-532",2013,"Q3",2,2,2,2,1,3,3,3,3,1,0,"","",1,1,1,"aus","Y","Y",6,1,3,2,0,0,1,"first","2013-11-29",1,2013,NA,NA,1,0,3,0,1,"Health sciences",4,0,0,1,0,0,0,0,0,0.92659056,18,NA,"Health sciences",0,0
181954,55366081500,2013,"female","Medical and Health Sciences","10.1016/j.jphysparis.2012.07.001",2013,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"deu","N","N",3,2,1,0,0,0,0,"first","",1,2013,1,NA,1,0,0,0,0,"Basic medical research",4,0,0,1,0,0,0,0,0,1.1217452,16,NA,"Basic medical research",0,NA
305986,57189229764,2014,"female","Social Sciences","10.1080/17531055.2014.891716",2014,"Q1",1,1,1,1,1,3,3,3,3,1,0,"","",1,0,1,"gbr","N","N",4,2,1,1,0,0,0,"first","2014-03-16",1,2014,NA,NA,1,0,3,0,1,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,NA,"Sociology and political science",0,0
179840,55922613500,2013,"male","Medical and Health Sciences","10.1002/rnj.90",2013,"Q2",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"usa","N","N",2,1,1,0,0,0,0,"first","2013-09-10",1,2013,9,NA,1,0,1,0,1,"Health sciences",2,0,0,1,0,1,0,1,1,0.15450174,1,1,"Health sciences",0,0
383321,57214344717,2015,"male","Natural Sciences","10.1039/c5an00530b",2015,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"gbr","N","N",1,1,0,0,0,0,0,"first","2015-05-14",1,2015,7,21,1,0,1,0,1,"Chemical sciences",4,0,0,1,0,0,0,0,0,1.9861181,17,NA,"Chemical sciences",0,0
544635,57117010900,2016,"female","Medical and Health Sciences","10.1055/s-0037-1603569",2017,"Q1",1,1,1,1,1,10,10,10,10,1,0,"","",1,0,2,"usa","N","N",3,1,2,0,0,0,0,"first","2019-11-15",1,2017,5,1,2,1,10,0,1,"Biological sciences",3,0,0,1,0,0,0,0,0,1.7000401,22,NA,"Biological sciences",0,0
533317,57191895967,2016,"male","Medical and Health Sciences","10.1093/icvts/ivw202",2016,"Q1",1,1,1,1,1,1,1,1,1,1,1,"","",1,1,1,"gbr","N","N",4,1,0,3,1,0,3,"first","2018-05-28",1,2016,11,1,1,0,1,1,0,"Clinical medicine",2,0,0,1,0,0,0,0,0,1.27895655,15,1,"Clinical medicine",1,0
143743,55827131900,2013,"female","Natural Sciences","10.1644/12-mamm-a-206.1",2013,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,0,1,"can","N","N",3,3,0,0,0,0,0,"first","2019-11-14",1,2013,8,NA,1,0,1,0,1,"Agricultural Sciences",3,0,0,1,0,0,0,0,0,0.82549345,18,NA,"Agricultural Sciences",0,0
536742,57192571605,2016,"male","Medical and Health Sciences","10.16761/j.cnki.1000-4963.2016.11.006",2016,"Q4",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",1,1,0,0,0,0,0,"first","",1,2016,11,5,1,0,0,0,0,"Clinical medicine",7,0,0,1,0,0,0,0,0,0.9841099,18,1,"Clinical medicine",0,NA
