"author_id","cohort","gender","discipline","pubyear","Jr_Quantile","n_ctr","n_aff","n_colla_ctr","n_colla_aff","sequence_nr","Original_Tweets","Original_Tweeters","len_tweet","len_tweeter","with_tw","self_pro_old","self_tw_time","self_text","others_first","searched","academic_age","most_ctr","colla_ctr_Y","colla_aff_Y","n_pub_3y","n_pub_1st","n_pub_2nd","n_pub_3rd","n_pub_pro_1st","n_pub_pro_2nd","n_pub_pro_3rd","seq_nr_grp_1","min_tw_time","first_firstauthor","PUBLICATIONYEAR","PUBLICATIONMONTH","PUBLICATIONDAY","pub_order","pub_before","tw_others_num","tw_only_self","tw_only_others","discipline_new_author","author_cnt","coauthor_pro_count","coauthor_pro","with_coauthor","SocialOutlet_count","Edu_count","SocialOutlet_pro","Edu_pro","soc_or_edu_pro","max_coa_fncr_5y","max_coa_age","uniqle_dis","discipline_new_pub","self_pro","chinese_name","firstauthor_top_100","coauthor_top_100"
4880,2014,"male","Natural Sciences",2015,"Q1",1,3,1,3,1,4,4,4,4,1,0,"","",1,0,2,"rus","N","Y",2,1,1,0,0,0,0,"first","2015-12-24",1,2015,12,16,2,1,4,0,1,"Biological sciences",5,0,0,1,3,0,1,0,1,2.226334,20,1,"Biological sciences",0,0,0,0
4881,2012,"female","Natural Sciences",2014,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,3,"rus","N","N",2,1,0,1,0,0,0,"first","",1,2014,9,1,2,1,0,0,0,"Chemical sciences",5,0,0,1,0,0,0,0,0,0.96396273,19,NA,"Chemical sciences",0,NA,0,0
4882,2013,"male","Natural Sciences",2013,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"ita","N","N",3,1,2,0,0,0,0,"first","",1,2013,1,NA,1,0,0,0,0,"Biological sciences",8,0,0,1,0,0,0,0,0,1.3768469,18,NA,"Biological sciences",0,NA,0,0
4883,2014,"male","Natural Sciences",2014,"Q1",1,1,1,2,1,2,2,2,2,1,0,"","",1,0,1,"deu","N","Y",6,4,2,0,0,0,0,"first","2014-06-09",1,2014,7,16,3,2,2,0,1,"Materials engineering",8,0,0,1,1,0,1,0,1,2.2983381,19,NA,"Materials engineering",0,0,0,0
4884,2013,"female","Medical and Health Sciences",2013,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"isr","N","N",3,1,1,1,0,0,0,"first","2013-10-20",1,2013,10,1,1,0,1,0,1,"Clinical medicine",6,0,0,1,0,0,0,0,0,0.8259127,18,1,"Clinical medicine",0,0,0,0
4885,2013,"female","Medical and Health Sciences",2013,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"deu","N","N",1,1,0,0,0,0,0,"first","",1,2013,11,NA,1,0,0,0,0,"Clinical medicine",3,0,0,1,0,0,0,0,0,0.88828546,18,1,"Clinical medicine",0,NA,0,0
4886,2016,"male","Medical and Health Sciences",2016,"Q2",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"chn","N","N",1,1,0,0,0,0,0,"first","2015-10-03",1,2016,1,1,1,0,1,0,1,"Basic medical research",6,0,0,1,0,0,0,0,0,0.8967915,21,NA,"Basic medical research",0,0,0,0
4887,2015,"male","Natural Sciences",2015,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",3,1,0,2,0,0,0,"first","",1,2015,4,1,1,0,0,0,0,"Agricultural Sciences",4,0,0,1,0,0,0,0,0,0.78606313,20,NA,"Agricultural Sciences",0,NA,0,0
4888,2015,"male","Engineering and Technology",2015,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"chn","N","N",9,2,5,2,0,0,0,"first","",1,2015,6,15,1,0,0,0,0,"Mechanical engineering",5,0,0,1,0,0,0,0,0,0.357480065,11,NA,"Mechanical engineering",0,NA,0,0
4889,2014,"male","Natural Sciences",2014,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"can","N","N",11,4,4,3,0,0,0,"first","",1,2014,11,13,2,1,0,0,0,"Earth and related environmental sciences",3,0,0,1,0,0,0,0,0,0.321678085,15,NA,"Earth and related environmental sciences",0,NA,1,0
4890,2015,"male","Engineering and Technology",2015,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",4,3,0,1,0,0,0,"first","",1,2015,7,1,2,1,0,0,0,"Electrical engineering, electronic engineering,  information engineering ",2,0,0,1,0,0,0,0,0,0,1,1,"Electrical engineering, electronic engineering,  information engineering ",0,NA,0,0
4891,2015,"male","Medical and Health Sciences",2015,"Q3",1,1,1,2,1,1,1,1,1,1,0,"","",1,1,1,"chn","N","Y",1,1,0,0,0,0,0,"first","2015-11-10",1,2015,9,1,1,0,1,0,1,"Health sciences",7,0,0,1,0,0,0,0,0,0.88026077,3,NA,"Health sciences",0,0,0,0
4892,2012,"male","Medical and Health Sciences",2012,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"gbr","N","N",2,2,0,0,0,0,0,"first","",1,2012,1,15,1,0,0,0,0,"Chemical sciences",14,0,0,1,0,0,0,0,0,1.5115405,16,NA,"Chemical sciences",0,NA,0,0
4893,2014,"male","Engineering and Technology",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"deu","N","N",3,1,2,0,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Materials engineering",4,0,0,1,0,0,0,0,0,0.25654823,18,NA,"Materials engineering",0,NA,0,0
4894,2012,"female","Medical and Health Sciences",2012,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"nld","N","N",5,3,0,2,0,0,0,"first","",1,2012,4,NA,1,0,0,0,0,"Other engineering and technologies",6,0,0,1,0,0,0,0,0,1.4504132,17,NA,"Other engineering and technologies",0,NA,0,0
4895,2015,"female","Medical and Health Sciences",2017,"Q2",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,3,"chn","N","N",5,2,0,3,0,0,0,"first","",1,2017,2,17,4,3,0,0,0,"Biological sciences",6,0,0,1,0,0,0,0,0,0.6547738,8,NA,"Biological sciences",0,NA,0,0
4896,2015,"male","Natural Sciences",2016,"Q1",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","Y",13,1,6,6,0,0,0,"first","",1,2016,12,20,5,4,0,0,0,"Chemical sciences",7,0,0,1,0,0,0,0,0,3.67348445,21,NA,"Chemical sciences",0,NA,0,0
4897,2015,"female","Medical and Health Sciences",2015,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"gbr","N","N",2,1,1,0,0,0,0,"first","",1,2015,10,1,1,0,0,0,0,"Clinical medicine",1,0,0,0,0,0,0,0,0,0,1,NA,"Clinical medicine",0,NA,0,0
4898,2014,"female","Medical and Health Sciences",2014,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",10,1,5,4,0,0,0,"first","",1,2014,10,10,1,0,0,0,0,"Biological sciences",10,0,0,1,0,0,0,0,0,1.2079097,15,NA,"Biological sciences",0,NA,0,0
4899,2016,"male","Natural Sciences",2016,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"gbr","N","N",5,3,2,0,0,0,0,"first","",1,2016,8,1,1,0,0,0,0,"Physical sciences and astronomy",2,0,0,1,0,0,0,0,0,0.9463694,13,NA,"Physical sciences and astronomy",0,NA,0,0
4900,2014,"male","Medical and Health Sciences",2015,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"isr","N","N",4,1,2,1,0,0,0,"first","",1,2015,7,24,2,1,0,0,0,"Basic medical research",11,0,0,1,0,0,0,0,0,0.94966327,20,1,"Basic medical research",0,NA,0,0
4901,2015,"male","Medical and Health Sciences",2015,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,1,"deu","N","N",3,2,0,1,0,0,0,"first","",1,2015,8,1,1,0,0,0,0,"Clinical medicine",8,0,0,1,0,0,0,0,0,0.29765308,20,NA,"Clinical medicine",0,NA,0,0
4902,2014,"male","Natural Sciences",2014,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"usa","N","N",5,1,3,1,0,0,0,"first","",1,2014,9,17,1,0,0,0,0,"Physical sciences and astronomy",5,0,0,1,0,0,0,0,0,1.0472911,17,NA,"Physical sciences and astronomy",0,NA,0,0
4903,2013,"male","Medical and Health Sciences",2013,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,1,1,"tur","N","N",3,1,1,1,0,0,0,"first","2013-05-27",1,2013,7,NA,1,0,2,0,1,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.45730987,11,1,"Clinical medicine",0,0,0,0
4904,2013,"female","Social Sciences",2014,"Q1",1,1,1,1,1,0,0,0,0,0,0,"","",0,0,2,"aus","N","N",3,2,1,0,0,0,0,"first","",1,2014,NA,NA,3,2,0,0,0,"Psychology",7,0,0,1,0,0,0,0,0,0.9332454,14,NA,"Psychology",0,NA,0,0
4905,2015,"female","Engineering and Technology",2016,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","N",3,1,2,0,0,0,0,"first","",1,2016,NA,NA,3,2,0,0,0,"Other engineering and technologies",6,0,0,1,0,0,0,0,0,0,2,NA,"Other engineering and technologies",0,NA,0,0
4906,2013,"female","Social Sciences",2013,"Q3",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"aus","N","N",2,1,1,0,0,0,0,"first","",1,2013,12,NA,1,0,0,0,0,"Sociology and political science",1,0,0,0,0,0,0,0,0,0,1,1,"Sociology and political science",0,NA,0,0
4907,2016,"female","Medical and Health Sciences",2016,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"bra","N","N",1,1,0,0,0,0,0,"first","",1,2016,2,1,1,0,0,0,0,"Clinical medicine",4,0,0,1,0,0,0,0,0,0.67676014,15,1,"Clinical medicine",0,NA,0,0
4908,2014,"male","Engineering and Technology",2016,"Q1",1,1,1,2,1,4,4,4,4,1,0,"","",1,0,3,"jpn","N","Y",4,1,0,3,0,0,0,"first","2016-09-11",1,2016,12,28,3,2,4,0,1,"Physical sciences and astronomy",12,0,0,1,0,0,0,0,0,5.974379,21,1,"Basic medical research",0,1,1,0
4909,2015,"male","Natural Sciences",2016,"Q1",1,2,1,2,1,2,2,2,2,1,0,"","",1,0,2,"usa","N","Y",4,1,1,2,0,0,0,"first","2016-04-04",1,2016,3,31,2,1,2,0,1,"Biological sciences",7,0,0,1,0,0,0,0,0,2.1637826,21,1,"Biological sciences",0,0,0,0
4910,2013,"male","Medical and Health Sciences",2013,"Q1",1,1,1,1,1,9,9,9,9,1,0,"","",1,1,1,"nld","N","N",2,1,0,1,0,0,0,"first","2013-08-31",1,2013,10,1,1,0,9,0,1,"Clinical medicine",2,0,0,1,2,0,1,0,1,2.0201278,18,1,"Clinical medicine",0,0,0,0
4911,2012,"female","Engineering and Technology",2012,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","N",1,1,0,0,0,0,0,"first","",1,2012,6,NA,1,0,0,0,0,"Other engineering and technologies",7,0,0,1,0,0,0,0,0,0.8149635,17,NA,"Other engineering and technologies",0,NA,0,0
4912,2014,"female","Medical and Health Sciences",2014,"Q1",1,1,1,2,1,0,0,0,0,0,0,"","",0,1,1,"dnk","N","Y",2,1,1,0,0,0,0,"first","",1,2014,NA,NA,1,0,0,0,0,"Clinical medicine",5,0,0,1,0,0,0,0,0,1.5590752,10,1,"Clinical medicine",0,NA,1,0
4913,2012,"female","Medical and Health Sciences",2012,"Q1",1,2,1,2,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","Y",1,1,0,0,0,0,0,"first","",1,2012,NA,NA,1,0,0,0,0,"Basic medical research",6,0,0,1,0,0,0,0,0,3.3301265,17,NA,"Basic medical research",0,NA,0,0
4914,2014,"female","Medical and Health Sciences",2014,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"kor","N","N",4,2,0,2,0,0,0,"first","",1,2014,NA,NA,2,1,0,0,0,"Clinical medicine",6,0,0,1,0,0,0,0,0,0.54269248,15,1,"Clinical medicine",0,NA,0,0
4915,2012,"female","Social Sciences",2012,"Q3",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"pol","N","N",3,1,0,2,0,0,0,"first","",1,2012,7,1,1,0,0,0,0,"Other social sciences",2,0,0,1,0,0,0,0,0,0,1,1,"Other social sciences",0,NA,0,0
4916,2012,"female","Natural Sciences",2012,"Q3",1,1,1,1,1,1,1,1,1,1,0,"","",1,1,1,"bra","N","N",3,1,1,1,0,0,0,"first","2012-03-14",1,2012,4,NA,1,0,1,0,1,"Materials engineering",7,0,0,1,0,0,0,0,0,0.50955546,17,1,"Biological sciences",0,0,0,0
4917,2013,"female","Natural Sciences",2013,"Q1",1,1,1,1,1,4,4,4,4,1,0,"","",1,1,1,"esp","N","N",5,1,2,2,0,0,0,"first","2013-06-28",1,2013,5,NA,1,0,4,0,1,"Biological sciences",4,0,0,1,0,0,0,0,0,1.0012952,16,NA,"Biological sciences",0,0,0,0
4918,2014,"male","Natural Sciences",2015,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,2,"chn","N","N",3,1,1,1,0,0,0,"first","",1,2015,6,15,2,1,0,0,0,"Biological sciences",9,0,0,1,0,0,0,0,0,0.6591979,18,1,"Biological sciences",0,NA,0,0
4919,2016,"male","Natural Sciences",2018,"Q1",1,2,1,2,1,1,1,1,1,1,1,"2018-04-06","Thank you for all the Twiiter love for the new paper! Available for free for 50 days here https://t.co/9pcwZzAXeS",0,0,3,"gbr","N","Y",4,1,0,3,0,0,3,"first","2018-04-06",1,2018,6,1,2,1,0,1,0,"Earth and related environmental sciences",2,0,0,1,0,0,0,0,0,0.607342345,16,1,"Earth and related environmental sciences",1,0,1,0
4920,2012,"male","Medical and Health Sciences",2012,"Q1",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,0,1,"usa","N","N",7,3,2,2,0,0,0,"first","",1,2012,NA,NA,2,1,0,0,0,"Clinical medicine",4,0,0,1,0,0,0,0,0,1.406402135,17,1,"Clinical medicine",0,NA,0,0
4921,2013,"male","Medical and Health Sciences",2015,"Q1",1,1,1,1,1,1,1,1,1,1,0,"","",1,0,3,"usa","N","N",2,1,0,1,0,0,0,"first","2015-01-13",1,2015,4,1,2,1,1,0,1,"Basic medical research",3,0,0,1,1,0,1,0,1,0.91618055,20,NA,"Basic medical research",0,0,1,0
4922,2016,"male","Natural Sciences",2016,"Q3",1,1,1,1,1,0,0,0,0,0,0,"","",0,1,1,"usa","N","N",1,1,0,0,0,0,0,"first","",1,2016,7,1,1,0,0,0,0,"Earth and related environmental sciences",5,0,0,1,0,0,0,0,0,0.8529439,21,NA,"Earth and related environmental sciences",0,NA,0,0
4923,2015,"male","Medical and Health Sciences",2015,"Q1",1,1,1,1,1,2,2,2,2,1,0,"","",1,0,1,"nzl","N","N",2,2,0,0,0,0,0,"first","2015-09-19",1,2015,12,1,2,1,2,0,1,"Basic medical research",5,0,0,1,1,0,1,0,1,2.6396875,19,NA,"Basic medical research",0,0,0,0
4924,2013,"female","Natural Sciences",2013,"Q2",1,1,1,2,1,NA,NA,0,0,0,0,"","",0,1,1,"chn","N","Y",2,1,0,1,0,0,0,"first","",1,2013,NA,NA,1,0,0,0,0,"Computer and information sciences",4,0,0,1,0,0,0,0,0,1.1357279,8,1,"Computer and information sciences",0,NA,0,0
4925,2014,"female","Agricultural Sciences",2014,"Q2",1,1,1,1,1,NA,NA,0,0,0,0,"","",0,1,1,"bra","N","N",2,2,0,0,0,0,0,"first","",1,2014,1,1,1,0,0,0,0,"Agricultural Sciences",5,0,0,1,0,0,0,0,0,0.361506685,19,NA,"Agricultural Sciences",0,NA,0,0
